Date / Time,Mode,Category,Sub category,Income/Expense,Debit/Credit
"Monday, December 20, 2021",CUB - online payment,Food,Milk with bharath,Expense,40
"Monday, December 20, 2021",CUB - online payment,Food,Lunch with barath,Expense,85
"Monday, December 20, 2021",CUB - online payment,Food,Water,Expense,20
"Monday, December 20, 2021",CUB - online payment,Food,Snacks,Expense,20
"Monday, December 20, 2021",CUB - online payment,Transportation,Taxi,Expense,800
"Monday, December 20, 2021",CUB - online payment,Food,Milk with bharath,Expense,80
"Tuesday, December 21, 2021",CUB - online payment,Food,Bun,Expense,18
"Tuesday, December 21, 2021",CUB - online payment,Food,Puffs,Expense,25
"Tuesday, December 21, 2021",CUB - online payment,Food,Dinner with barath,Expense,239
"Thursday, December 23, 2021",CUB - online payment,Food,Puffs and coffee,Expense,32
"Thursday, December 23, 2021",CUB - online payment,Food,Lemon tea with company,Expense,15
"Friday, December 24, 2021",CUB - online payment,Food,Lunch with company,Expense,262
"Saturday, December 25, 2021",CUB - online payment,Food,Milk with bharath,Expense,40
"Saturday, December 25, 2021",CUB - online payment,Food,Water,Expense,30
"Saturday, December 25, 2021",CUB - online payment,Food,Corn,Expense,300
"Saturday, December 25, 2021",CUB - online payment,Apparel,Books,Expense,400
"Saturday, December 25, 2021",CUB - online payment,Food,Dinner with barath,Expense,504
"Monday, December 27, 2021",CUB - online payment,Food,Coconut water with stu,Expense,50
"Monday, December 27, 2021",CUB - online payment,Other,From vicky,Income,80
"Monday, December 27, 2021",CUB - online payment,Food,Lunch with barath,Expense,115
"Tuesday, December 28, 2021",CUB - online payment,Food,Coffee and thattai,Expense,14
"Thursday, December 30, 2021",CUB - online payment,Food,Water,Expense,20
"Thursday, December 30, 2021",CUB - online payment,Other,From Deepak,Income,250
"Thursday, December 30, 2021",CUB - online payment,Food,Horlicks + kolakattai,Expense,25
"Thursday, December 30, 2021",CUB - online payment,Salary,office,Income,55530
"Thursday, December 30, 2021",CUB - online payment,Transportation,Pg to office,Expense,43
"Thursday, December 30, 2021",CUB - online payment,Food,To barath,Expense,20
